name,artist,genre,intensity,focusing
HI / LO,Battles,Indie Rock,5,0
IPT - 2,Battles,Indie Rock,4,0
TRAS2,Battles,Indie Rock,4,1
Africastle,Battles,Indie Rock,4,0
Ice Cream (Featuring Matias Aguayo),Battles,Indie Rock,5,0
Futura,Battles,Indie Rock,5,0
Inchworm,Battles,Indie Rock,4,0
Wall Street,Battles,Indie Rock,5,0
My Machines (Featuring Gary Numan),Battles,Indie Rock,5,0
Dominican Fade,Battles,Indie Rock,4,1
Sweetie & Shag (Featuring Kazu Makino),Battles,Indie Rock,5,0
Toddler,Battles,Indie Rock,3,1
Rolls Bayce,Battles,Indie Rock,5,0
White Electric,Battles,Indie Rock,5,0
Sundome (Featuring Yamantaka Eye),Battles,Indie Rock,5,0
Atlas,Battles,Indie Rock,4,1
Ddiamondd,Battles,Indie Rock,5,0
Tonto,Battles,Indie Rock,4,0
Leyendecker,Battles,Indie Rock,4,1
Rainbow,Battles,Indie Rock,5,0
Bad Trails,Battles,Indie Rock,4,0
Prismism,Battles,Indie Rock,5,0
Snare Hangar,Battles,Indie Rock,5,1
Tij,Battles,Indie Rock,5,0
Race: Out,Battles,Indie Rock,4,1
Crow Waltz,The Be Good Tanyas,Country,3,1
Pet Sounds,The Beach Boys,Rock,4,0
Let's Go Away For Awhile (Stereo Mix),The Beach Boys,Rock,3,1
Welcome Bearsuit Spacehotel,Bearsuit,Rock,5,1
Sneakin' Out The Hospital,Beastie Boys,Rock,4,1
Sabrosa,Beastie Boys,Hip-Hop,3,1
Son Of Neckbone,Beastie Boys,Rock,4,1
Two For One,Beau Barry Quartet,Jazz,5,0
Floppy Hat,Beau Barry Quartet,Jazz,4,0
Well You Needn't,Beau Barry Quartet,Jazz,4,0
Equinox,Beau Barry Quartet,Jazz,3,1
Ju-Ju,Beau Barry Quartet,Jazz,4,0
In A Sentimental Mood,Beau Barry Quartet,Jazz,3,1
Solar,Beau Barry Quartet,Jazz,5,0
Misterioso,Beau Barry Quartet,Jazz,3,1
Hackensack,Beau Barry Quartet,Jazz,3,1
Bosco Moscow Stomp,Beausoleil,World Music,4,1
Bayou Tech,Beausoleil,World Music,3,1
Just Because,Beausoleil,World Music,4,1
The Long Island Sound,Beirut,Indie Rock,3,1
El Zócalo,Beirut,Indie Rock,5,1
My Wife,Beirut,Indie Rock,3,1
On A Bayonet,Beirut,Indie Rock,4,1
After You've Gone,Benny Goodman,Jazz,4,1
Peregrinations,Bert Jansch,Folk,3,1
China Lake,Big Black,Folk,4,0
Pavan,Big Black,Folk,4,1
Jigs,Big Black,Folk,3,1
Afro-Cuban Lullaby,Big Black,Folk,3,1
Raw Hide,Bill Monroe,Bluegrass,4,1
I Can't Face The Music,Billie Holiday,Jazz,3,0
Trust,Billy Bragg,Rock,2,0
I Dreamed I Saw Phil Ochs Last Night,Billy Bragg,Rock,3,0
Nicaragua; Nicaragüita,Billy Bragg,Rock,4,0
I Love You; Samantha (Version 1),Bing Crosby & Louis Armstrong,Jazz,4,1
Fire,Bipolar Sunshine,Indie Rock,3,0
Skies Crimson Tears,Birchville Cat Motel,Indie Rock,5,0
Piccolo Concerto (Arranged For Accordion And String Orchestra): I. Andante Misterioso,Bjarke Mogensen & The Danish National Chamber Orchestra Conducted By Rolf Gupta,Classical,4,1
Overture,Björk,Electronic,4,1
Frosti,Björk,Indie Rock,4,1
Short Steep Curve,The Black Drumset,Indie Rock,5,1
3 And A 33rd,The Black Drumset,Indie Rock,4,1
Sail Away Ladies,Black Twig Pickers,Bluegrass,4,1
Cold; Frosty Morning,Black Twig Pickers,Bluegrass,3,1
Ebeneezer,Black Twig Pickers,Bluegrass,4,1
Rambling Hobo,Black Twig Pickers,Bluegrass,3,1
Isak's Blues No. 2,Black Twig Pickers,Bluegrass,3,1
Blind Man's Lament,Black Twig Pickers,Bluegrass,4,1
Rough Carpenters,Black Twig Pickers,Bluegrass,4,0
Little Rose,Black Twig Pickers,Bluegrass,4,1
Banks Of The Arkansas,Black Twig Pickers,Bluegrass,4,1
Ironto Special,Black Twig Pickers,Bluegrass,3,1
31 Meek Blues,Black Twig Pickers,Bluegrass,3,1
Lightning Strike,Black Twig Pickers,Bluegrass,5,1
Have You Been To Alabama?,Black Twig Pickers,Bluegrass,3,1
Futurism vs. Passéism,Blonde Redhead,Indie Rock,5,0
Futurism vs. Passéism Part 2,Blonde Redhead,Rock,4,1
Four Damaged Lemons (Third Eye Foundation Remix),Blonde Redhead,Indie Rock,4,1
The Antivert,The Blood Group,Rock,4,1
The Long List Of Girls (Instrumental Version),The Blow,Indie Rock,4,1
True Affection (Instrumental Version),The Blow,Indie Rock,3,1
Coast Road,Blowfly Saint,Indie Rock,4,1
Scratch,Blue Ribbon Syncopators,Jazz,4,1
Our Hearts Of Ruin,Blue Sky Black Death,Electronic,4,1
Sleeping Chlldren Are Still Flying,Blue Sky Black Death,Electronic,4,1
To The Ends Of The Earth,Blue Sky Black Death,Electronic,4,1
Farewell To The Former World,Blue Sky Black Death,Electronic,3,1
Falling Short,Blue Sky Black Death,Electronic,3,1
Where Do We Go,Blue Sky Black Death,Electronic,3,1
In The Quiet Absence Of God,Blue Sky Black Death,Electronic,3,1
Where The Sun Beats,Blue Sky Black Death,Electronic,4,1
Starry,Blue Sky Black Death,Electronic,3,1
Swords From Driftwood,Blue Sky Black Death,Electronic,3,1
Sky With Hand,Blue Sky Black Death,Electronic,3,1
Secrets,Blue Sky Black Death,Electronic,3,0
Movements,Blue Sky Black Death,Electronic,3,1
Constants Are Changing,Boards Of Canada,Electronic,3,1
Over The Horizon Radar,Boards Of Canada,Electronic,3,1
Happy Cycling,Boards Of Canada,Electronic,4,1
I'm Gonna Live Anyhow Until I Die,Bob Pratcher & Miles Pratcher,Folk,4,0
Paradise Dub,Bobby Birdman,Indie Rock,3,1
Zia And Mikal,Bobby Johnston,Soundtrack Music,3,1
You Look Exactly The Same,Bobby Johnston,Soundtrack Music,3,1
Everything Reminded Me Of You,Bobby Johnston,Soundtrack Music,4,1
People In High Places,Bobby Johnston,Soundtrack Music,3,1
Por Qué Me La Dejaste Querer?,Bola De Nieve,Folk,3,1
Team,Bon Iver,Indie Rock,4,1
Time Is Tight,Booker T. & The MGs,Soul,4,1
Golden Slumbers / Carry That Weight / The End / Here Comes The Sun / Come Together,Booker T. & The MGs,Hip-Hop,5,1
Something,Booker T. & The MGs,Hip-Hop,5,1
Because / You Never Give Me Your Money,Booker T. & The MGs,Hip-Hop,5,1
Sun King / Mean Mr. Mustard / Polythene Pam / She Came In Through The Bathroom Window / I Want You (She's So Heavy),Booker T. & The MGs,Hip-Hop,5,1
Soul Dressing,Booker T. & The MGs,Funk,4,1
Mercy Mercy,Booker T. & The MGs,Funk,4,1
When Something Is Wrong With My Baby,Booker T. & The MGs,Soul,3,1
Smells Like Content,The Books,Art Music,3,0
If Not Now; Whenever,The Books,Art Music,3,0
Getting The Job Done,The Books,Art Music,4,0
IDKT,The Books,Rock,2,1
Gross,Boom Pam,World Music,4,1
Sourwood Mountain,Boone Reid,Bluegrass,3,1
Coastal Boarder,Boxhead Ensemble,Soundtrack Music,3,1
Deep Sea,Boxhead Ensemble,Soundtrack Music,3,1
Far Gone/Big Sky,Boxhead Ensemble,Soundtrack Music,5,1
Deviant,Boyracer,Indie Rock,5,1
Dog And Gun (An Old English Ballad),Bradley Kincaid,Folk,3,0
Near Enough,Braids,Indie Rock,3,1
For My Beloved,Brainiac,Rock,4,0
White Buffalo,Breathe Owl Breathe,Country,3,1
Do You Love Me Now; Jr.? (With J Mascis),The Breeders,Indie Rock,3,0
T And T,The Breeders,Rock,4,1
Plum And Paste,Brendan Willard,Electronic,4,1
The Big Ship,Brian Eno,Electronic,3,1
Energy Fools The Magician,Brian Eno,Rock,4,0
Fleeting Smile,Brian Eno,Classical,2,1
Here Come The Warm Jets,Brian Eno,Rock,4,1
Deep Blue Day,Brian Eno,Electronic,3,1
A Gathering To Lead Me Then You're Gone,Brian McBride,Art Music,3,1
The Suspension Bridge At Iguazú Falls,Brokeback,Rock,3,1
The Wind-Up Bird,Brokeback,Indie Rock,4,1
hHallmark,Broken Social Scene,Indie Rock,4,1
Time = Cause,Broken Social Scene,Indie Rock,4,1
Finish Your Collapse And Stay For Breakfast,Broken Social Scene,Indie Rock,4,1
Tremoloa Debut,Broken Social Scene,Indie Rock,4,1
Baroque Social,Broken Social Scene,Indie Rock,4,1
I Slept With Bonhomme At The CBC,Broken Social Scene,Indie Rock,3,1
Alive In 85,Broken Social Scene,Indie Rock,3,1
Prison Province,Broken Social Scene,Indie Rock,3,1
Blues For Uncle Gibb,Broken Social Scene,Indie Rock,3,1
Mossbraker,Broken Social Scene,Indie Rock,3,1
Last Place,Broken Social Scene,Indie Rock,3,1
Cranley's Gonna Make It,Broken Social Scene,Indie Rock,4,1
Love & Mathematics,Broken Social Scene,Electronic,4,1
Capture The Flag,Broken Social Scene,Indie Rock,3,1
Pitter Patter Goes My Heart,Broken Social Scene,Indie Rock,3,1
Baby,Bruno Coulais,Soundtrack Music,2,1
Really A Pain,Bucktown 5,Early Pop,4,1
River Serpentine,The Budos Band,Funk,4,1
Crimson Skies,The Budos Band,Funk,4,1
Mark Of The Unnamed,The Budos Band,Funk,4,1
Chicago Falcon,The Budos Band,Funk,4,1
De Camino A La Vereda,Buena Vista Social Club,World Music,3,1
Pueblo Nuevo,Buena Vista Social Club,World Music,4,1
Candela,Buena Vista Social Club,World Music,4,1
Amor de Loca Juventud,Buena Vista Social Club,World Music,3,1
Orgullecida,Buena Vista Social Club,World Music,3,1
La Bayamesa,Buena Vista Social Club,World Music,3,1
Dawn's Lament,Buffy The Vampire Slayer Cast,Soundtrack Music,5,0
Dawn's Ballet,Buffy The Vampire Slayer Cast,Soundtrack Music,5,0
End Credits (Broom Dance / Grr Arrgh),Buffy The Vampire Slayer Cast,Soundtrack Music,4,0
Main Title,Buffy The Vampire Slayer Cast,Soundtrack Music,3,1
Suite From 'Restless': Willow's Nightmare/First Rage/Chain Of Ancients,Buffy The Vampire Slayer Cast,Soundtrack Music,5,0
Suite From 'Hush': Silent Night / First Kiss / Enter The Gentlemen / Schism,Buffy The Vampire Slayer Cast,Soundtrack Music,5,0
Sacrifice (From 'The Gift'),Buffy The Vampire Slayer Cast,Soundtrack Music,3,1
Parchman Farm Blues,Bukka White,Blues,3,0
Humano (Instrumental),Calexico,Rock,4,1
Where Water Flows,Calexico,Rock,2,1
Minas De Cobre (For Better Metal),Calexico,Rock,4,1
Over Your Shoulder,Calexico,Rock,3,1
Sprawl,Calexico,Rock,3,1
Main Title Theme (Billy),Calexico,Rock,3,1
No Doze,Calexico,Indie Rock,3,1
Face Under Hat/Old Streetside,Califone,Art Music,4,1
Dog Sold/Hangs From Rearview Mirror/Loosen And Fall,Califone,Art Music,4,0
Garlic Head Clown Serenades Ballerina Crying Vaseline Tears,Califone,Art Music,2,1
II - 'Firework (No Mail Days Are Sad Days)' (Live),Califone,Art Music,4,1
III - 'Firework (No Mail Days Are Sad Days)' (Live),Califone,Art Music,4,0
'Salome' - In The Palace Of Herod (Live),Califone,Art Music,4,1
'Salome' - 'I Love To See In A Fruit The Mark Of Thy Little Teeth' (Live),Califone,Art Music,5,0
'Salome' - 'I Ask The Head Of Jokaanan In A Silver Charger' (Live),Califone,Art Music,4,0
'Salome' - 'I Will Not Look At Things; I Will Not Suffer Things To Look At Me' (Live),Califone,Art Music,5,0
'Salome' - 'I Have Kissed Thy Mouth' (Live),Califone,Art Music,4,1
Million Dollar Funeral,Califone,Indie Rock,3,0
Slower Twin,Califone,Indie Rock,4,0
Classical Gas,California Guitar Trio,Rock,4,1
Stockholm Stomp,The California Ramblers,Early Pop,4,1
Yesterday Is Here (Acoustic Version) (Live),Calla,Indie Rock,2,0
Mayzelle (Version 2),Calla,Indie Rock,4,1
Alacran,Calla,Rock,4,1
Arrangements Of Shapes And Space,Camera Obscura,Indie Rock,4,1
Mass In C; K 317; 'Coronation' - 4. Sanctus,Camerata Academica,Classical,4,0
We Eat Your Children,Camper Van Beethoven,Indie Rock,4,1
Interlude,Camper Van Beethoven,Indie Rock,3,1
Waka,Camper Van Beethoven,Indie Rock,4,0
The Fool,Camper Van Beethoven,Indie Rock,4,1
Yanqui Go Home,Camper Van Beethoven,Indie Rock,3,1
Skinhead Stomp,Camper Van Beethoven,Indie Rock,4,1
Stairway To Heavan,Camper Van Beethoven,Indie Rock,4,0
Mushroom (Extended Version),Can,Rock,4,1
Spoon,Can,Rock,4,1
Aumgn (Condensed Version),Can,Rock,5,0
Yoo Doo Right,Can,Rock,4,1
Doko E,Can,Rock,4,1
Future Days,Can,Rock,4,1
Animal Waves,Can,Rock,4,1
Evening All Day,Can,Rock,4,1
Oscura Primavera,Can,Rock,4,1
Vitamin C (U.N.K.L.E. Mix),Can,Electronic,5,1
Halleluhwah (Halleluwa Orbus 2),Can,Electronic,4,1
Unfinished (Hiller/Kaiser/Leda Mix),Can,Electronic,4,0
Aumgn,Can,Rock,5,0
Autumn Leaves,Cannonball Adderley,Jazz,3,1
Love For Sale,Cannonball Adderley & Miles Davis,Jazz,4,1
String Quartet No. 3; 'Mishima': VI. Mishima / Closing,Carducci String Quartet,Classical,3,1
Ace High: Main Titles,Carlo Rustichelli,Soundtrack Music,3,1
Drums Play Law 21,Casey Foubert/James McAlister,Rock,4,1
Big Moth,Casey Foubert/James McAlister,Rock,4,1
They Should Be Named Numbers,Casey Foubert/James McAlister,Rock,5,0
Dung Beetle,Casey Foubert/James McAlister,Rock,4,1
Obvious Samplers,Casey Foubert/James McAlister,Rock,4,1
Myrrh Birth,Casey Foubert/James McAlister,Rock,5,1
Aabenbaringen Over Aaskammen,Casiokids,Indie Rock,3,1
Fot I hose,Casiokids,Electronic,5,1
Gomurmamma,Casiokids,Electronic,4,1
Twinkle Echo (Reverse),Casiotone For The Painfully Alone,Indie Rock,3,1
ASA (Live),Caspian,Indie Rock,5,1
Into The Hillside,Cassettes Won't Listen,Electronic,5,1
Fiance,Cat Power,Indie Rock,4,1
Snowed In,Catacombkid,Hip-Hop,4,1
Lies Pt 2,Catacombkid,Hip-Hop,3,1
Statue,Catacombkid,Hip-Hop,3,1
Lullaby,Catherine Clareboudt,World Music,2,1
Sinner Saves A Saint,Catherine Irwin,Country,3,0
Go To Sleep,Catherine Matthews,World Music,2,0
Camphor,Caural,Electronic,4,1
Mint & A Hospital Watercolor,Caural,Electronic,4,1
The Porazzi Fragment,CBC Radio Orchestra,Classical,4,0
Light Through The Branches,Celeste Lear,Electronic,3,1
Elements Of Structure,Cerberus Shoal,Indie Rock,4,1
Permanence,Cerberus Shoal,Indie Rock,4,1
Zebra,Cesária Évora,World Music,4,1
Xandinha,Cesária Évora,World Music,3,1
Angola (Get Down Dub By Pepe Bradock),Cesária Évora,World Music,4,1
DVD Menu Music,Chad Kelly,Soundtrack Music,3,1
Tarefero De Mis Pagos/Alla En El Yerbal,Chango Spasiuk,World Music,3,0
My Pretty Girl,Charles Fulcher,Early Pop,5,1
Boogie Stop Shuffle,Charles Mingus,Jazz,4,1
Self-Portrait In Three Colors,Charles Mingus,Jazz,3,1
Pussy Cat Dues,Charles Mingus,Jazz,3,1
Jelly Roll,Charles Mingus,Jazz,3,0
Cherokee,Charlie Barnet,Jazz,4,1
Dos Sonetos,Charlie Byrd,Jazz,3,1
Differencias Sobre,Charlie Byrd,Jazz,2,1
Diferencias Sobre El Conde Claros,Charlie Byrd,Jazz,3,1
Gallarda,Charlie Byrd,Jazz,3,1
Fantasia Que Contra Hace La Harpa,Charlie Byrd,Jazz,4,1
Pavane Y Villanesca,Charlie Byrd,Jazz,3,1
Cancion Del Emperador,Charlie Byrd,Jazz,3,1
Baxa De Contrapunta,Charlie Byrd,Jazz,3,1
Suite No. 1 In G Major,Charlie Byrd,Jazz,3,1
Suite No. 3 In E Minor,Charlie Byrd,Jazz,3,1
Suite No. 4 In D Major,Charlie Byrd,Jazz,3,1
Pleasure Mad,Charlie Creath,Early Pop,4,1
I Remember You,Charlie Parker,Jazz,4,1
Bird Of Paradise,Charlie Parker,Jazz,4,1
Charlie's Wig,Charlie Parker,Jazz,4,1
Crazeology,Charlie Parker,Jazz,4,1
How Deep Is The Ocean?,Charlie Parker,Jazz,3,1
Lullaby In Rythm; Part One,Charlie Parker,Jazz,3,1
Home Cooking; Part Two,Charlie Parker,Jazz,4,1
Cool Blues (Alternate),Charlie Parker,Jazz,4,1
Bird Of Paradise (Alternate Version),Charlie Parker,Jazz,3,1
Out Of Nowhere (Alternate),Charlie Parker,Jazz,3,1
A Night In Tunisia (Live),Charlie Parker & Dizzy Gillespie,Jazz,4,1
Surface To Air,The Chemical Brothers,Electronic,4,1
One With One,Chet Baker,Jazz,3,1
Pamela's Passion,Chet Baker,Jazz,4,0
I Wish You Love (Alternate Take),Chet Baker,Jazz,3,1
You're My Thrill (Version 1),Chet Baker,Jazz,3,1
Mean To Me,Chet Baker,Jazz,3,1
Alone Together,Chet Baker,Jazz,2,1
September Song,Chet Baker,Jazz,2,1
You'd Be Nice To Come Home To,Chet Baker,Jazz,3,1
Lady Bird,Chet Baker,Jazz,4,1
Tune Up,Chet Baker,Jazz,4,1
